OrgDefinedId,Attendance Points Grade <Numeric MaxPoints:100 Weight:7>,End-of-Line Indicator
#A00746035,95.0,#
#A00913638,93.0,#
#A00940835,100.0,#
#A00948844,100.0,#
#A01006494,90.0,#
#A01030381,86.0,#
#A01058341,86.0,#
#A01073920,98.0,#
#A01159131,86.0,#
#A01178066,100.0,#
#A01191808,95.0,#
#A01217376,86.0,#
#A01226824,98.0,#
#A01248193,100.0,#
#A01248771,95.0,#
#A01255181,100.0,#
#A01256902,93.0,#
#A01258024,98.0,#
#A01259742,95.0,#
#A01268383,79.0,#
#A01268816,90.0,#
#A01272941,100.0,#
#A01276339,76.0,#
#A01280488,95.0,#
#A01281182,95.0,#
#A01281200,98.0,#
#A01282057,95.0,#
#A01295865,90.0,#
#A01298718,100.0,#
